,Floor,Kitchen,Bedrooms,Bathrooms,Toilets,Primary Energy Consumption (in kWh/m²),Energy Class,CO₂ emission,Heating Type,Double Glazing,Rent (in €),Additional Costs (in €),Tenement,House Type,Living Area (in m²),Furnished,Building Condition,Elevator,Total Rent (in €)
23,0,Installed,1,1,1,214,Not specified,49,Gas,No,1400,127.6,No,Ground floor ,80,Yes,As new,Unknown,1400
24,2,Installed,1,1,1,411,Not specified,92,Gas,No,975,65.0,No,Apartment ,67,Unknown,Just renovated,No,1040
26,0,Hyper equipped,3,1,2,197,D,53,Gas,Yes,2400,250.0,No,Apartment ,140,Yes,As new,Yes,2650
27,1,USA hyper equipped,2,1,1,101,C,19,Gas,Yes,1400,250.0,No,Apartment ,80,Yes,As new,Yes,1650
28,3,Semi equipped,2,1,1,251,C,50,Gas,Yes,900,20.0,No,Apartment ,80,No,Good,No,920
29,0,Installed,3,1,1,404,E,61,Fuel oil,Yes,750,22.77,No,House ,109,Unknown,As new,Unknown,750
30,2,Hyper equipped,2,2,1,117,B,66,Gas,No,720,75.0,No,Apartment ,118,No,As new,Yes,795
31,2,Hyper equipped,2,1,1,154,B,85,Gas,No,700,80.96,No,Apartment ,95,Unknown,As new,Yes,700
32,3,Hyper equipped,2,1,1,112,B,51,Gas,Yes,515,75.09,No,Studio ,45,Unknown,As new,Yes,515
33,2,Installed,1,1,1,149,C,72,Gas,Yes,740,75.0,No,Apartment ,45,Yes,Good,Yes,815
34,2,Hyper equipped,2,1,1,203,Not specified,43,Gas,Yes,1000,30.0,No,Apartment ,70,No,As new,No,1030
35,1,Hyper equipped,1,1,1,224,E,44,Electric,Yes,700,45.0,No,Studio ,32,No,Just renovated,No,745
36,4,USA hyper equipped,1,1,1,227,E,53,Gas,Yes,950,200.0,No,Penthouse ,65,Unknown,Good,Yes,1150
37,2,Installed,2,1,1,208,D,44,Gas,No,1195,138.22,No,Apartment ,100,No,As new,Unknown,1195
38,3,Installed,1,1,1,252,Not specified,54,Gas,No,625,35.0,No,Apartment ,45,No,As new,Unknown,660
42,0,Installed,1,1,1,277,Not specified,61,Gas,Yes,750,130.0,No,Apartment ,68,No,As new,Yes,880
43,1,Installed,2,1,1,114,Not specified,41,Gas,No,1280,150.0,No,Apartment ,70,No,As new,Unknown,1430
45,2,Hyper equipped,2,1,1,336,F,92,Gas,Yes,975,112.77,No,Apartment ,75,Unknown,As new,Unknown,975
46,3,Semi equipped,2,1,2,263,Not specified,50,Gas,Yes,900,70.0,No,Duplex ,80,Unknown,As new,No,970
47,1,Hyper equipped,2,1,1,126,C,25,Gas,Yes,1490,50.0,No,Duplex ,115,No,As new,Unknown,1540
48,4,Hyper equipped,1,1,1,47,B,18,Gas,Yes,850,85.0,No,Apartment ,71,No,Good,Yes,935
50,4,Hyper equipped,2,1,1,250,Not specified,39,Gas,Yes,570,43.59,No,Duplex ,65,Unknown,As new,Unknown,570
52,1,Hyper equipped,1,1,1,281,Not specified,61,Gas,Yes,990,114.51,No,Apartment ,66,No,As new,Yes,990
53,2,Installed,1,1,1,197,Not specified,44,Gas,No,790,100.0,No,Apartment ,63,No,Good,No,890
54,2,Hyper equipped,2,1,1,79,B,52,Gas,Yes,1600,250.0,No,Apartment ,97,Yes,As new,Yes,1850
55,1,Installed,1,1,2,83,B,63,Gas,Yes,1250,130.0,No,Apartment ,64,Yes,Good,Yes,1380
56,3,Hyper equipped,2,1,1,240,E,30,Gas,Yes,835,96.58,No,Apartment ,80,Yes,As new,Yes,835
57,3,Hyper equipped,1,1,1,291,F,72,Gas,Yes,825,100.0,No,Studio ,60,No,As new,Unknown,925
58,1,USA hyper equipped,2,1,2,159,Not specified,42,Gas,Yes,1500,40.0,No,Duplex ,90,Unknown,Just renovated,No,1540
59,1,Hyper equipped,1,1,1,272,Not specified,58,Gas,No,850,142.0,No,Apartment ,70,Unknown,As new,No,992
60,1,Hyper equipped,2,2,2,138,C,27,Gas,Yes,2200,25.0,No,Duplex ,150,No,Just renovated,Unknown,2225
61,2,Installed,1,1,1,272,Not specified,58,Gas,Yes,850,20.0,No,Apartment ,80,Unknown,As new,No,870
62,0,Installed,2,1,1,233,Not specified,58,Gas,Yes,1100,150.0,No,Apartment ,89,No,Good,No,1250
63,1,Hyper equipped,1,1,1,200,Not specified,30,Gas,Yes,835,100.0,No,Studio ,36,Yes,As new,No,935
64,0,Hyper equipped,1,1,1,208,D,40,Gas,Yes,790,40.0,No,Apartment ,59,Unknown,As new,Unknown,830
65,5,USA hyper equipped,3,2,2,179,D,38,Gas,Yes,1950,300.0,No,Duplex ,76,Yes,As new,Yes,2250
67,0,Installed,2,1,2,221,Not specified,48,Gas,Yes,2200,225.0,No,Apartment ,110,No,As new,Yes,2425
68,4,Installed,2,1,1,201,D,39,Gas,Yes,1000,35.0,No,Apartment ,60,No,Just renovated,No,1035
69,3,Not installed,2,1,1,214,Not specified,49,Gas,Yes,1400,275.0,No,Apartment ,155,No,As new,Yes,1675
70,1,Installed,2,1,2,214,Not specified,49,Gas,Yes,1400,90.0,No,Apartment ,120,No,Just renovated,Unknown,1490
71,0,USA hyper equipped,2,2,2,167,D,33,Gas,Yes,2350,160.0,No,Penthouse ,140,No,As new,Yes,2510
72,2,USA semi equipped,3,2,2,90,B,15,Gas,Yes,1350,200.0,No,Apartment ,127,No,As new,Yes,1550
73,0,Hyper equipped,3,1,1,205,Not specified,47,Gas,No,1850,56.17,No,House ,145,Unknown,As new,Unknown,1850
74,2,Hyper equipped,2,1,1,133,C,29,Gas,Yes,1190,90.0,No,Apartment ,95,No,As new,Yes,1280
75,3,Installed,2,1,1,189,D,38,Gas,Yes,1200,185.0,No,Apartment ,95,No,As new,Unknown,1385
76,1,USA hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250,1.0,No,Duplex ,100,No,As new,No,1251
77,0,USA hyper equipped,2,1,1,247,Not specified,63,Gas,Yes,1250,1.0,No,House ,100,No,As new,No,1251
78,3,Installed,4,2,2,204,D,40,Electric,Yes,2050,125.0,No,Apartment ,162,No,Good,Yes,2175
79,3,Installed,1,1,1,411,Not specified,65,Gas,No,690,79.81,No,Apartment ,60,Unknown,As new,No,690
80,1,USA installed,1,1,1,272,Not specified,58,Gas,Yes,850,10.0,No,Apartment ,65,Unknown,As new,No,860
81,1,Installed,2,1,2,148,C,29,Gas,Yes,1300,200.0,No,Apartment ,110,Unknown,As new,Yes,1500
82,2,Hyper equipped,2,1,1,59,B,10,Gas,Yes,1600,160.0,No,Apartment ,124,No,As new,Yes,1760
83,3,USA semi equipped,2,1,1,62,B,13,Gas,Yes,1500,125.0,No,Apartment ,97,No,As new,Yes,1625
86,2,Hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900,50.0,No,Apartment ,55,Unknown,As new,Yes,950
87,1,Hyper equipped,2,1,1,203,Not specified,39,Gas,No,1000,150.0,No,Apartment ,80,Unknown,As new,Unknown,1150
88,3,Hyper equipped,1,1,1,411,Not specified,92,Gas,Yes,975,75.0,No,Apartment ,65,Yes,As new,No,1050
89,3,Installed,1,1,1,321,F,69,Gas,No,800,50.0,No,Studio ,29,Yes,Just renovated,Yes,850
90,0,Installed,1,1,1,297,Not specified,57,Gas,Yes,760,87.9,No,Apartment ,60,Unknown,As new,No,760
91,5,Installed,1,1,1,203,Not specified,39,Gas,Yes,1000,200.0,No,Apartment ,63,Unknown,As new,Yes,1200
92,5,USA hyper equipped,1,1,1,108,C,27,Gas,No,900,150.0,No,Apartment ,60,Unknown,Just renovated,Yes,1050
93,4,USA hyper equipped,1,1,1,365,Not specified,17,Gas,Yes,800,125.0,No,Apartment ,58,No,As new,Yes,925
95,3,Hyper equipped,1,1,1,245,Not specified,53,Gas,Yes,950,35.0,No,Apartment ,83,Unknown,To renovate,No,985
96,1,Hyper equipped,1,1,1,155,D,32,Gas,Yes,1200,15.0,No,Apartment ,80,Unknown,As new,No,1215
99,4,Hyper equipped,2,1,1,159,Not specified,42,Fuel oil,Yes,1500,250.0,No,Apartment ,85,Unknown,Good,Yes,1750
101,2,Hyper equipped,3,1,2,204,Not specified,44,Gas,Yes,1650,170.0,No,Apartment ,130,No,As new,Yes,1820
102,2,Hyper equipped,1,1,1,245,Not specified,53,Gas,Yes,950,200.0,No,Apartment ,55,Yes,As new,No,1150
103,2,Hyper equipped,3,2,2,163,D,32,Gas,Yes,1500,150.0,No,Apartment ,110,No,As new,Yes,1650
104,2,Hyper equipped,2,1,1,154,Not specified,36,Gas,No,970,112.19,No,Apartment ,90,Unknown,As new,Unknown,970
105,2,Semi equipped,1,1,1,411,Not specified,65,Gas,Yes,690,100.0,No,Studio ,50,Yes,Good,Yes,790
106,1,USA hyper equipped,1,1,1,157,D,34,Gas,Yes,1190,150.0,No,Apartment ,120,No,As new,No,1340
107,1,USA hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100,80.0,No,Loft ,90,Unknown,As new,Unknown,1180
108,0,Hyper equipped,2,1,1,127,C,25,Gas,No,1180,136.48,No,Apartment ,101,No,As new,Yes,1180
109,2,Hyper equipped,2,1,2,193,Not specified,27,Gas,No,1390,106.3,No,Duplex ,90,Unknown,As new,No,1390
110,0,Installed,2,1,2,287,F,44,Gas,Yes,1650,250.0,No,Ground floor ,136,Unknown,As new,Yes,1900
111,1,Hyper equipped,1,1,1,247,Not specified,63,Gas,Yes,1250,105.0,No,Apartment ,70,Yes,As new,No,1355
112,1,Hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100,105.0,No,Apartment ,70,No,As new,No,1205
114,2,Hyper equipped,2,1,1,224,E,44,Gas,Yes,1250,260.0,No,Apartment ,116,No,As new,Yes,1510
115,0,Hyper equipped,1,1,1,411,Not specified,92,Gas,No,975,25.0,No,Apartment ,70,Unknown,As new,No,1000
116,2,Hyper equipped,3,2,2,163,D,32,Gas,Yes,1500,150.0,No,Apartment ,110,No,As new,Yes,1650
117,2,Installed,1,1,1,156,D,31,Gas,Yes,950,50.0,No,Apartment ,57,Unknown,Just renovated,No,1000
118,3,Hyper equipped,3,2,3,243,Not specified,51,Gas,Yes,2329,269.38,No,Apartment ,180,Unknown,As new,Yes,2329
119,1,USA hyper equipped,2,1,1,200,D,42,Gas,Yes,1500,350.0,No,Loft ,145,No,As new,Yes,1850
120,0,Hyper equipped,2,2,3,105,C,23,Gas,Yes,1800,150.0,No,Duplex ,151,No,As new,Yes,1950
121,2,Hyper equipped,1,1,2,182,Not specified,40,Gas,Yes,925,100.0,No,Apartment ,57,Unknown,As new,Yes,1025
122,0,Installed,2,1,1,277,F,38,Gas,Yes,1380,105.53,No,Duplex ,120,No,Just renovated,Unknown,1380
123,1,Semi equipped,2,1,1,217,E,34,Electric,Yes,1000,50.0,No,Apartment ,100,Unknown,As new,Yes,1050
124,0,Installed,3,1,2,214,Not specified,49,Gas,Yes,1400,42.51,No,House ,120,No,Good,Unknown,1400
125,0,Installed,1,1,1,322,Not specified,72,Gas,Yes,740,130.0,No,Studio ,35,Yes,As new,No,870
127,1,Hyper equipped,2,1,1,255,E,51,Gas,Yes,1290,98.65,No,Duplex ,80,No,As new,No,1290
129,2,Installed,2,1,1,247,Not specified,63,Gas,No,1250,10.0,No,Apartment ,95,Unknown,Just renovated,Unknown,1260
130,3,USA hyper equipped,2,1,2,161,D,34,Gas,Yes,1700,50.0,No,Penthouse ,96,No,As new,Yes,1750
131,1,Hyper equipped,2,1,1,220,Not specified,47,Gas,No,1300,250.0,No,Apartment ,130,Unknown,As new,Unknown,1550
132,1,Installed,1,1,1,276,E,56,Gas,Yes,740,50.0,No,Duplex ,35,Yes,Good,No,790
135,0,Installed,2,1,1,275,E,55,Gas,Yes,1600,180.0,No,Duplex ,167,No,Good,Unknown,1780
136,4,Installed,2,1,1,109,C,22,Gas,Yes,1650,100.0,No,Apartment ,89,No,Good,Yes,1750
138,3,Hyper equipped,1,1,1,151,C,30,Gas,Yes,950,115.0,No,Apartment ,71,No,As new,Yes,1065
139,3,Semi equipped,1,1,1,278,F,53,Electric,Yes,950,40.0,No,Apartment ,80,No,Just renovated,No,990
141,2,USA installed,2,1,1,17,A,87,Gas,Yes,1070,115.0,No,Apartment ,95,No,As new,Yes,1185
143,3,USA hyper equipped,1,1,1,245,Not specified,53,Gas,Yes,950,170.0,No,Duplex ,65,Unknown,Just renovated,No,1120
144,1,USA hyper equipped,1,1,1,233,Not specified,58,Gas,Yes,1100,105.0,No,Apartment ,70,Unknown,As new,No,1205
145,3,USA hyper equipped,1,1,1,326,Not specified,72,Gas,Yes,825,95.0,No,Studio ,42,Unknown,Just renovated,Unknown,920
146,0,USA hyper equipped,5,2,3,282,F,56,Gas,Yes,2200,66.8,No,House ,173,No,As new,Unknown,2200
148,4,Semi equipped,2,1,1,357,G,69,Gas,Yes,1080,300.0,No,Apartment ,100,No,As new,Yes,1380
149,6,Hyper equipped,2,1,1,272,Not specified,58,Gas,Yes,850,98.31,No,Apartment ,60,No,Good,Yes,850
151,5,Hyper equipped,3,1,1,197,D,39,Gas,Yes,1150,250.0,No,Apartment ,100,Unknown,As new,Unknown,1400
152,4,Hyper equipped,1,1,1,45,A,9,Gas,Yes,820,85.0,No,Studio ,47,No,As new,Yes,905
153,3,Hyper equipped,1,1,1,67,B,39,Gas,Yes,1000,100.0,No,Studio ,38,Yes,As new,Yes,1100
154,4,Installed,1,1,1,170,D,34,Gas,Yes,1550,200.0,No,Apartment ,72,Yes,As new,Yes,1750
155,4,USA hyper equipped,1,1,1,206,Not specified,50,Fuel oil,No,1050,150.0,No,Apartment ,60,Yes,As new,Yes,1200
157,1,USA hyper equipped,2,1,1,178,D,53,Fuel oil,Yes,1100,230.0,No,Apartment ,90,No,As new,Yes,1330
158,3,USA hyper equipped,1,1,1,217,Not specified,46,Gas,Yes,1200,100.0,No,Apartment ,75,No,As new,Yes,1300
159,2,Hyper equipped,2,2,2,169,D,33,Gas,Yes,1850,250.0,No,Apartment ,139,No,As new,Yes,2100
160,3,Hyper equipped,2,1,1,233,Not specified,58,Gas,Yes,1100,80.0,No,Apartment ,100,Unknown,Just renovated,Unknown,1180
163,2,Hyper equipped,2,1,1,340,F,68,Gas,Yes,900,104.1,No,Apartment ,98,No,Just renovated,No,900
164,0,USA hyper equipped,3,2,2,144,C,29,Gas,Yes,1650,58.93,No,Triplex ,135,No,Just renovated,No,1650
166,3,Hyper equipped,2,1,1,140,C,39,Gas,Yes,1300,180.0,No,Apartment ,120,No,Just renovated,Yes,1480
167,0,Hyper equipped,1,1,1,272,Not specified,58,Gas,Yes,850,75.0,No,Apartment ,20,No,Just renovated,No,925
168,3,Hyper equipped,2,1,1,165,D,30,Gas,Yes,1300,200.0,No,Apartment ,100,No,Just renovated,Yes,1500
169,3,Installed,2,2,2,124,C,26,Gas,Yes,1620,80.0,No,Duplex ,95,No,Good,Unknown,1700
170,3,Hyper equipped,2,1,1,184,D,20,Gas,Yes,1390,160.77,No,Apartment ,120,No,As new,Yes,1390
171,3,Installed,2,1,1,158,D,33,Gas,Yes,1050,180.0,No,Apartment ,66,No,As new,Yes,1230
172,0,USA installed,2,1,1,180,D,35,Gas,Yes,1590,183.9,No,Apartment ,82,Yes,As new,Unknown,1590
173,0,USA installed,2,1,1,180,D,35,Gas,Yes,1590,48.28,No,House ,82,Yes,As new,Unknown,1590
174,3,Installed,1,1,1,127,C,26,Gas,Yes,1050,120.0,No,Apartment ,57,No,As new,Yes,1170
175,4,USA installed,2,1,1,168,D,34,Gas,Yes,1350,100.0,No,Apartment ,100,No,As new,Yes,1450
176,2,Hyper equipped,2,1,1,130,C,28,Gas,Yes,1290,149.2,No,Apartment ,110,No,As new,Yes,1290
177,3,USA hyper equipped,3,1,1,255,Not specified,53,Gas,Yes,1350,25.0,No,Apartment ,95,No,As new,Unknown,1375
178,2,Hyper equipped,2,1,1,72,B,19,Gas,Yes,1500,160.0,No,Apartment ,115,No,As new,Unknown,1660
179,0,Hyper equipped,1,1,1,246,E,59,Fuel oil,Yes,900,100.0,No,Ground floor ,75,No,As new,Yes,1000
180,1,USA hyper equipped,1,1,1,277,Not specified,61,Gas,Yes,750,57.36,No,Duplex ,40,Yes,Just renovated,No,750
182,1,Hyper equipped,1,1,1,74,B,53,Gas,Yes,950,109.88,No,Apartment ,56,Yes,As new,Yes,950
183,0,USA hyper equipped,1,1,1,123,C,23,Gas,Yes,975,110.0,No,Apartment ,44,Yes,As new,Yes,1085
184,2,USA uninstalled,2,1,1,204,Not specified,44,Gas,Yes,1650,55.0,No,Apartment ,85,No,Just renovated,No,1705
185,3,Hyper equipped,3,1,1,227,Not specified,55,Gas,Yes,1950,75.0,No,Penthouse ,120,No,Just renovated,No,2025
186,3,Installed,2,1,2,94,B,20,Gas,Yes,1300,280.0,No,Apartment ,100,No,As new,Yes,1580
188,0,Installed,2,1,1,255,Not specified,53,Gas,Yes,1350,80.0,No,Ground floor ,80,No,As new,Yes,1430
190,3,USA hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900,104.1,No,Apartment ,50,Unknown,Just renovated,No,900
191,3,USA hyper equipped,2,1,1,190,D,37,Gas,Yes,1200,25.0,No,Penthouse ,95,No,Just renovated,Unknown,1225
194,0,Installed,1,1,1,233,Not specified,58,Gas,Yes,1100,75.0,No,Apartment ,70,No,Just renovated,Unknown,1175
195,3,Installed,1,1,1,297,Not specified,57,Gas,Yes,760,150.0,No,Apartment ,68,Unknown,Just renovated,Yes,910
196,1,USA hyper equipped,1,1,1,156,D,33,Gas,Yes,950,150.0,No,Apartment ,55,Yes,As new,No,1100
197,0,Installed,1,1,2,248,E,53,Gas,Yes,950,72.65,No,Duplex ,72,No,As new,Unknown,950
198,3,USA hyper equipped,2,1,3,259,E,55,Gas,Yes,1380,15.0,No,Apartment ,105,No,As new,Unknown,1395
199,0,Hyper equipped,1,1,1,200,D,50,Gas,Yes,850,250.0,No,Studio ,50,Yes,As new,No,1100
200,1,Hyper equipped,1,1,1,272,Not specified,58,Gas,Yes,850,250.0,No,Apartment ,50,Yes,Good,Yes,1100
202,2,USA installed,2,1,1,203,Not specified,39,Gas,No,1000,100.0,No,Apartment ,90,Yes,Good,Yes,1100
203,0,Hyper equipped,4,4,4,126,C,25,Gas,Yes,2400,72.87,No,House ,132,No,Good,No,2400
204,3,Semi equipped,1,1,1,277,Not specified,61,Gas,No,750,140.0,No,Duplex ,50,Unknown,Good,No,890
205,0,Hyper equipped,2,1,2,181,Not specified,52,Gas,Yes,1550,60.0,No,Duplex ,124,Unknown,Just renovated,No,1610
206,5,Not installed,2,1,2,245,Not specified,53,Gas,Yes,950,109.88,No,Apartment ,95,No,As new,Yes,950
208,0,Hyper equipped,4,1,3,232,E,56,Gas,Yes,2100,63.77,No,House ,160,No,As new,Unknown,2100
210,5,Hyper equipped,2,1,1,139,C,35,Gas,Yes,1500,250.0,No,Apartment ,95,Yes,As new,Yes,1750
211,1,Hyper equipped,1,1,1,182,Not specified,36,Gas,No,860,15.0,No,Apartment ,80,Unknown,As new,Unknown,875
212,1,Hyper equipped,2,1,1,138,C,87,Gas,Yes,950,200.0,No,Apartment ,75,No,Good,Yes,1150
213,1,Installed,2,1,1,159,Not specified,42,Gas,Yes,1500,140.0,No,Apartment ,75,Yes,As new,Yes,1640
214,6,Installed,2,1,1,222,E,50,Gas,Yes,1050,170.0,No,Apartment ,67,No,Good,Yes,1220
217,3,Hyper equipped,1,1,1,185,D,50,Gas,Yes,1050,225.0,No,Apartment ,65,Yes,As new,Unknown,1275
218,1,Installed,1,1,1,281,F,60,Gas,Yes,695,20.0,No,Apartment ,60,Unknown,Just renovated,Unknown,715
219,2,Installed,1,1,1,451,G,88,Gas,Yes,700,116.0,No,Apartment ,48,No,Good,Unknown,816
220,4,USA installed,1,1,1,281,Not specified,61,Gas,Yes,990,110.0,No,Apartment ,50,Yes,Good,Yes,1100
223,3,Hyper equipped,1,1,1,185,D,72,Gas,Yes,825,95.0,No,Apartment ,42,No,As new,Unknown,920
224,1,Hyper equipped,1,1,1,180,D,50,Gas,Yes,1100,105.0,No,Apartment ,70,No,As new,Unknown,1205
225,4,Hyper equipped,1,1,1,326,Not specified,72,Gas,Yes,825,96.0,No,Apartment ,63,No,As new,Unknown,921
226,1,Hyper equipped,1,1,1,180,D,50,Gas,Yes,1250,105.0,No,Apartment ,70,Yes,As new,Unknown,1355
227,0,Hyper equipped,1,1,1,185,D,58,Gas,Yes,1100,215.0,No,Apartment ,75,No,As new,Unknown,1315
228,2,Hyper equipped,3,1,1,161,D,32,Gas,Yes,1800,64.29,No,Triplex ,120,Unknown,Just renovated,Unknown,1800
229,6,Hyper equipped,1,1,2,199,Not specified,38,Gas,No,1380,175.0,No,Apartment ,100,Yes,As new,Yes,1555
230,3,Installed,1,1,1,357,Not specified,85,Gas,Yes,700,150.0,No,Apartment ,55,Unknown,As new,Yes,850
231,1,Installed,3,2,2,95,B,24,Gas,Yes,2150,248.67,No,Apartment ,137,Unknown,Just renovated,Yes,2150
233,0,Hyper equipped,2,2,1,251,E,50,Gas,Yes,1950,196.31,No,Penthouse ,130,Unknown,Just renovated,Unknown,1950
234,1,Semi equipped,2,1,1,404,G,49,Gas,Yes,1150,87.94,No,Duplex ,102,No,Just renovated,No,1150
235,2,Installed,3,1,1,263,Not specified,50,Gas,Yes,900,104.1,No,Apartment ,90,No,As new,Unknown,900
236,4,USA hyper equipped,2,2,1,119,C,23,Gas,Yes,1600,100.0,No,Apartment ,96,No,As new,Yes,1700
238,4,USA hyper equipped,2,1,1,95,B,18,Gas,Yes,1200,145.0,No,Penthouse ,72,No,As new,Yes,1345
239,0,Hyper equipped,3,3,3,280,F,63,Gas,Yes,2650,120.0,No,Ground floor ,130,Yes,As new,No,2770
240,2,Hyper equipped,1,1,1,209,D,57,Gas,Yes,1200,180.0,No,Apartment ,98,No,As new,Yes,1380
241,2,USA hyper equipped,1,1,1,79,B,12,Gas,Yes,1050,100.0,No,Apartment ,64,No,Good,Yes,1150
244,4,USA hyper equipped,1,1,1,222,E,44,Gas,Yes,1150,350.0,No,Apartment ,51,Yes,As new,Yes,1500
246,4,Hyper equipped,1,1,1,183,D,36,Gas,Yes,1050,180.0,No,Studio ,43,Yes,Just renovated,Yes,1230
247,5,Hyper equipped,1,1,1,106,C,22,Gas,Yes,680,175.0,No,Studio ,38,No,As new,Unknown,855
248,1,USA hyper equipped,2,2,2,67,B,60,Gas,Yes,2250,200.0,No,Apartment ,140,No,As new,Yes,2450
249,1,Hyper equipped,2,1,2,208,D,44,Gas,Yes,1300,180.0,No,Apartment ,100,No,Good,Yes,1480
255,3,USA hyper equipped,2,1,2,379,G,81,Gas,Yes,1900,200.0,No,Penthouse ,160,Yes,As new,Unknown,2100
258,1,Hyper equipped,1,1,1,206,Not specified,50,Gas,Yes,1050,250.0,No,Apartment ,65,No,Just renovated,Unknown,1300
259,3,USA installed,2,1,2,444,G,89,Gas,Yes,1750,133.83,No,Duplex ,100,No,Just renovated,Unknown,1750
260,1,USA hyper equipped,1,1,1,125,C,58,Gas,Yes,1100,80.0,No,Apartment ,90,Yes,As new,No,1180
261,0,Hyper equipped,1,1,1,296,Not specified,62,Gas,No,780,120.0,No,House ,52,Yes,As new,Unknown,900
262,2,Installed,3,2,2,131,C,28,Gas,Yes,1700,150.0,No,Apartment ,130,No,As new,Yes,1850
263,0,Hyper equipped,1,1,1,203,Not specified,39,Gas,No,1000,300.0,No,Apartment ,112,No,As new,Yes,1300
264,4,Installed,2,1,1,381,G,60,Electric,Yes,1000,180.0,No,Apartment ,70,No,As new,Yes,1180
265,3,Installed,1,1,1,183,D,36,Gas,Yes,825,95.0,No,Studio ,42,No,As new,Unknown,920
266,0,Installed,1,1,1,274,E,54,Gas,Yes,1100,215.0,No,Ground floor ,75,No,As new,Unknown,1315
267,3,Installed,1,1,1,256,E,51,Gas,Yes,950,225.0,No,Duplex ,70,No,As new,Unknown,1175
268,1,Installed,1,1,1,184,D,36,Gas,Yes,1100,105.0,No,Apartment ,70,No,As new,Unknown,1205
269,3,USA hyper equipped,2,1,1,217,Not specified,46,Gas,Yes,1200,138.8,No,Apartment ,95,Unknown,As new,No,1200
270,0,Hyper equipped,1,1,1,263,Not specified,50,Gas,Yes,900,150.0,No,Apartment ,60,No,As new,Yes,1050
271,0,Hyper equipped,2,2,2,197,Not specified,40,Gas,Yes,1195,95.0,No,Apartment ,70,No,Good,Yes,1290
272,3,Hyper equipped,2,1,1,233,Not specified,58,Gas,No,1100,45.0,No,Apartment ,90,Unknown,As new,Yes,1145
273,1,Hyper equipped,1,1,1,310,F,64,Gas,Yes,1200,75.0,No,Apartment ,70,No,As new,No,1275
274,1,USA hyper equipped,1,1,2,266,E,74,Fuel oil,Yes,1100,250.0,No,Apartment ,77,No,Just renovated,Unknown,1350
276,1,Installed,2,1,1,220,Not specified,47,Gas,Yes,1300,150.0,No,Apartment ,100,Unknown,Just renovated,Yes,1450
277,2,Hyper equipped,2,1,1,217,Not specified,46,Gas,Yes,1200,50.0,No,Apartment ,80,Unknown,As new,No,1250
279,6,Installed,1,1,1,366,G,73,Gas,Yes,990,185.0,No,Penthouse ,70,No,Good,Yes,1175
280,6,Installed,1,1,1,366,G,73,Gas,Yes,990,185.0,No,Penthouse ,70,No,Good,Yes,1175
281,6,Installed,1,1,1,366,G,73,Gas,Yes,990,185.0,No,Apartment ,70,No,Good,Yes,1175
282,6,Installed,1,1,1,366,G,73,Gas,Yes,990,185.0,No,Apartment ,70,No,Good,Yes,1175
283,2,USA hyper equipped,2,1,2,226,E,45,Gas,Yes,1300,200.0,No,Apartment ,100,No,As new,Yes,1500
284,6,Installed,2,1,1,217,Not specified,46,Gas,Yes,1200,300.0,No,Apartment ,128,No,As new,Yes,1500
