,Availability,Floor,Kitchen,Beds,Dressing,Baths,Toilets,Office,ProfSpace,PetFriendly,Armored door,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,HeatPump,SolarPanels,Thermic solar panels,WaterHeater,DoubleGlazing,BuildingType,Rent,Costs,Tenement,price,space,address,listing_type,Floors,Frontages,OutParking,LivingArea,LivingRmSurface,Bed1Surface,Bed2Surface,Furnished,TerraceSurface,Intercom,Visio phone,As built plan,Address,Website,ExtRef,Agency,YearBuilt,BldgCondition,LivingRm,DiningRm,LaundryRm,Basement,TerraceOrient,Caretaker,Elevator,Accessible,SecAccess,AirCond,TVCable,Jacuzzi,Sauna,Pool,Internet,FuelCert,PriorityPurchase,Available,Street frontage width,description,KitchenSurface,BasementSurface,Neighbourhood,Fireplaces,Terrace,GardenSurface,GardenOrient,PlanningPerm,SubdivisionPerm,ShowerRms,FloodZone,Surroundings,VirtualVisit,PropertyName,CovParking,PlanningBreach,ProfSpaceSurface,Obligation to build,AtticSurface,Bed3Surface,OfficeSurface,Attic,PlotSurface,SewerConnection,Utilities,GroundFloorSurface,LandUse,Garden,ELevel,Agent's name,LandFacingStreet,WoodedLand,RearPlot,FlatLand,Bed4Surface,EPCDesc,Bed5Surface,LotWidth,Isolated,ExtraInfo,Annexes
10,February 1 2023 - 12:00 AM,nan,Installed,1.0,,1.0,1.0,,,,,"86 kWh/m²
kilowatt hour per square meters",B,Not specified,17 kg CO₂/m²,Not specified,Gas,,,,,,,"€ 900
900 €","€ 130
130€",No,"€900 (+ €130)
900€ + 130€ per month","1 bedroom | 60 m²
square meters",1030 — Schaerbeek,Apartment for rent,5.0,4.0,1.0,"60 m²
square meters","25 m²
square meters","14 m²
square meters",,No,"49 m²
square meters",Yes,Yes,,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",http://www.expertissimmo.eu,5230023,Expertissimmo,2022.0,As new,,,,Yes,,,Yes,Yes,,,Yes,,,No,,,,Immediately,,"SCHAERBEEK (Limite Woluwe-Saint-Lambert) -- Excellente situation à proximité des transports en commun, des commerces et accès facile aux grands axes (E40). Superbe appartement 1 chambre de +/-60m2 avec jardin situé au rez-de-chaussée d'un nouvel immeuble aux excellentes performances énergétique! Il est composé comme suit: Hall d'entrée avec petite coin vestiaire et Wc séparé - Lumineux séjour de +/- 25m2 donnant accès à la terrasse et au jardin privatif orientés SUD - Belle cuisine ouverte entièrement équipée (taques, hotte, four, frigo, congélateur et lave-vaisselle) - Hall de nuit avec espace buanderie - 1 chambre à coucher de +/-14m2 - Belle salle de douche (grande douche à l'italienne) - Cave privative et emplacement de parking au sous-sol. Appartement totalement neuf, chaudière individuelle au gaz, local vélo, système vidéophone, etc. Libre immédiatement. PEB= B. Loyer: 900€ + provision de charges 130€ (charges commune et entretien du jardin). Location emplacement de parking 75€. A visiter sans tarder! VISITE VIRTUELLE: https://my.matterport.com/show/?m=ts5yjgN4XFe","4 m²
square meters",,Bruxelles (19 communes),,,"67 m²
square meters",,,,1.0,,Isolated,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,February 1 2023 - 12:00 AM,4.0,Hyper equipped,1.0,,1.0,1.0,,,,,"438 kWh/m²
kilowatt hour per square meters",G,Not specified,115 kg CO₂/m²,Not specified,Gas,,,,,Yes,,"€ 850
850 €","€ 230
230€",No,"€850 (+ €230)
850€ + 230€ per month","1 bedroom | 52 m²
square meters",Ask for the exact address,Apartment for rent,4.0,2.0,,"52 m²
square meters","30 m²
square meters","14 m²
square meters",,No,"2 m²
square meters",,,,"Val des Seigneurs, 9a
1150 - Woluwe-St-Pierre",http://www.sorimo.be,5233522,Sorimo - Bruxelles,,As new,,,,,,,Yes,No,,,,,,No,,,,Depending on the tenant,,"En face de la maison communale de Woluwe Saint-Pierre, à côté des commerces et à 200 m du Parc de Woluwe, très bel et lumineux appartement de +/- 52 m² habitables entièrement rénové se composant d'un séjour de +/- 30 m², cuisine américaine neuve, chambre 14 m², balcon, salle de douche. Provision mensuelle de charges de 230€ (communs, chauffage, eau froide et chaude). PEB G 438kWh/m²/an. Libre le 01/02/2023.",,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,November 1 2022 - 12:00 AM,1.0,Installed,,,nan,1.0,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,,,,,Yes,,"€ 625
625 €","€ 105
105€",No,"€625 (+ €105)
625€ + 105€ per month","40 m²
square meters",1070 — Anderlecht,Studio for rent,5.0,2.0,,"40 m²
square meters","20 m²
square meters","15 m²
square meters",,No,,,Yes,No,"Avenue Louise 200
1050 - Bruxelles",http://www.trevi.be,241071 - ME,TREVI,2022.0,,,Yes,Yes,,,,Yes,,,,,,,,,,,,,"Sorry, there is no English translation. ANDERLECHT, G13 - dans la 2ème phase du projet CYAN, idéalement situé à 5 minutes à pied de la gare du Midi, dans un quartier en pleine évolution, magnifique studio neuf de ±40m². Comprenant : pièce de vie ±20m², cuisine USA équipée, sdd. Parking en option. Aspects techniques : WIFI dans tout le complexe, matériaux nobles, toitures vertes, faible consommation d'énergie - PEB : B, 27kg/(m²/an). Charges : 90€/mois (Forfait pour charges communes : 40€/mois et provisions pour le chauffage : 50€/mois. Libre le 01/11/2022. INFOS : 02 340 24 94. Visitez aussi notre page Facebook Trevi location ! Mesures donnée à titre indicatif.",,,Bruxelles Nord,,,,,,,1.0,,Urban,,CYAN,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,7.0,Hyper equipped,2.0,,1.0,2.0,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,,,,,Yes,,"€ 1,325
1325 €","€ 150
150€",No,"€1,325 (+ €150)
1325€ + 150€ per month","2 bedrooms | 90 m²
square meters",Ask for the exact address,Apartment for rent,8.0,4.0,,"90 m²
square meters","33 m²
square meters",,,No,"10 m²
square meters",,,No,"Avenue Louise 200
1050 - Bruxelles",http://www.trevi.be,241070 - 111115511,TREVI,,As new,,,,Yes,,,Yes,,,,,,,,,,,Immediately,,"BRUSSELS, on the exceptional site ""UPSITE"", in front of Tour & Taxis and close to the North Station, magnificent apartment of ±90m² living space located on the 7th floor in the apartments / villas. It is composed of: entrance hall, living room of ±33,5m² with terrace of ±10m², full equipped kitchen Siemens, 2 bedrooms, bathroom, cellar. Parking place at 100€/month. Provision for charges: €/month (hot water, heating, common). Available immediately. PEB: C*. Measurements given as an indication.",,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,8.0,,1.0,,1.0,1.0,,,,,"832 kWh/m²
kilowatt hour per square meters",G,Not specified,Not specified,Not specified,Gas,,,,,Yes,,"€ 1,100
1100 €",,No,"€1,100/month
1100€ per month","1 bedroom | 75 m²
square meters",Ask for the exact address,Apartment for rent,8.0,2.0,,"75 m²
square meters","30 m²
square meters","14 m²
square meters",,No,"20 m²
square meters",,,No,"Edingsesteenweg 341
1755 - Kester",http://www.c21atg.be,3992 - 666555908,CENTURY 21 ATG,,Just renovated,,,,Yes,,,Yes,,,,,,,,,,,Immediately,,"Penthouse © Bois de la Cambre © 2 terraces Ideally located next to one of the most beautiful PARKS in BRUSSELS, you will find this MAGNIFIC 1 bedroom penthouse, on the 8th floor, completely renovated with high quality materials. It offers 2 magnificent TERRASSES with an incredible VIEW of the city of Brussels and the TERKAMERENBOS. Through the large windows that give immediate access to the terraces you get a lot of light. It is composed as follows: Entrance hall with marble floor with a built-in wardrobe and cupboards, a guest toilet with space for washing machine, spacious living room of ± 30 m² with parquet floor and direct access to the terrace, a separate fitted kitchen with SMEG gas stove, access to the quiet south terrace nighthall, a bedroom with fitted wardrobes and a bathroom. There are no direct neighbors, underfloor heating, electricity is compliant, reinforced door, videophone, double glazing, fireplace, elevator, bike storage. Monthly charges: provision of 250 for heating and common charges For a visit contact us: info@c21 or 02 513 13 13","8 m²
square meters",,,,,,,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,6.0,Hyper equipped,1.0,,1.0,,,,,,"407 kWh/m²
kilowatt hour per square meters",G,20111021-0000025164-01-8,87 kg CO₂/m²,Not specified,,,,,,Yes,,"€ 1,250
1250 €",,No,"€1,250/month
1250€ per month","1 bedroom | 90 m²
square meters",1000 — Bruxelles,Apartment for rent,7.0,,,"90 m²
square meters",,,,No,,,,No,"Avenue Louise 200
1050 - Bruxelles-Quartier Louise",http://www.trevi.be,241068 -,Trevi Gestea,,As new,,,,,,,Yes,,,,,,,,,,,,,"Close to the European Institutions, the Maelbeek metro station and Schuman station in a magnificent listed building, Gestea offers you a beautiful 1 bedroom flat. Entrance hall with access to the living/dining room with open plan fitted kitchen, 2 bedrooms and bathroom with WC. Shared laundry room in the basement. Charming building, unique in the area. Transport, parks and shops nearby. -- Rent: 1250€ + monthly provision of charges of 200€ (including provision of common charges, heating and water as well as home insurance) Possibility of parking for 150€/month. -- Info and visits : Antoine - adejamblinne@trevi.be - 0478 65 26 40",,,Bruxelles Centre,,,,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,1.0,Not installed,1.0,,1.0,,,,,,"407 kWh/m²
kilowatt hour per square meters",G,20111021-0000025164-01-8,87 kg CO₂/m²,Not specified,,,,,,,,"€ 980
980 €",,No,"€980/month
980€ per month","1 bedroom | 70 m²
square meters",1000 — Bruxelles,Apartment for rent,7.0,,,"70 m²
square meters",,,,No,,,,No,"Avenue Louise 200
1050 - Bruxelles-Quartier Louise",http://www.trevi.be,241066 - 3789243,Trevi Gestea,,As new,,,,,,,,,,,,,,,,,,,,"Close to the European Institutions, the Maelbeek metro station and Schuman station in a magnificent listed building, Gestea offers you a beautiful 1 bedroom flat. Entrance hall with access to the living/dining room with open plan fitted kitchen, 1 bedroom and bathroom with WC. Shared laundry room in the basement. Charming building, unique in the area. Transport, parks and shops nearby. -- Rent: 980€ + monthly provision of charges of 150€ (including provision of common charges, heating and water as well as home insurance) Possibility of parking for 150€/month. -- Info and visits : Antoine - adejamblinne@trevi.be - 0478 65 26 40",,,Bruxelles Centre,,,,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,March 1 2023 - 12:00 AM,3.0,USA hyper equipped,2.0,No,2.0,2.0,No,No,No,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,All kind,"€ 1,450
1450 €","€ 120
120€",No,"€1,450 (+ €120)
1450€ + 120€ per month","2 bedrooms | 122 m²
square meters",Ask for the exact address,Apartment for rent,4.0,,,"122 m²
square meters","52 m²
square meters","19 m²
square meters","13 m²
square meters",,"10 m²
square meters",Yes,Yes,,,,,,2017.0,As new,,Yes,Yes,,South,No,Yes,No,Yes,No,Yes,No,No,No,Yes,,No,,,,,,,,,,,Yes,,,,,,,2.0,No,,,,,,,,,,,,,,,,,,,,,,,,,
18,,3.0,Installed,1.0,No,nan,1.0,No,No,No,No,Not specified,Not specified,20221215-­0000628793-­01-­5,Not specified,Not specified,Gas,No,No,No,Yes,Yes,All kind,"€ 950
950 €",,No,"€950/month
950€ per month","1 bedroom | 45 m²
square meters",1190 — Forest,Studio for rent,3.0,2.0,,"45 m²
square meters",,"20 m²
square meters",,Yes,"8 m²
square meters",Yes,Yes,,,,,,,Just renovated,,,Yes,,West,No,No,No,No,No,Yes,No,No,No,Yes,,,Immediately,7 m,"Bright flat, fully furnished and equipped flat, 40m² terrasse of 10 m² looking West with great 180° view on Brussels, for 1 person in Forest (Parcs de Forest/Duden), close to St-Gilles and Midi station (Eurostar/Thalys). Fully equipped kitchen, fully furnished bed room, dimmable lighting, curtains, acoustic double glazing, cleaning and ironing gear, shower in mortex, new laundry machine and extra space in the basement.
Rent: 950€/month. Provision for charges: 150€/month (water, gaz, electricity). No extra common charges. For viewings, call M. Noble on +32476638283
--- NO AGENCIES ---","15 m²
square meters","20 m²
square meters",,,,,,,,1.0,,Landscape,,,,,"5 m²
square meters",,,,,,,,,,,,,,,,,,,,,,,,
19,,3.0,Hyper equipped,2.0,Yes,1.0,1.0,No,No,Yes,No,Not specified,Not specified,20221215-­0000628792-­01-­7,Not specified,Not specified,Gas,No,No,No,Yes,Yes,Apartment building,"€ 1,950
1950 €",,No,"€1,950/month
1950€ per month","2 bedrooms | 110 m²
square meters",1190 — Forest,Penthouse for rent,3.0,2.0,,"110 m²
square meters","15 m²
square meters","16 m²
square meters","10 m²
square meters",Yes,"40 m²
square meters",Yes,Yes,,,,,,2015.0,Just renovated,,Yes,Yes,,West,No,No,No,No,No,Yes,No,No,No,Yes,,,Immediately,7 m,"Brand new Duplex-Penthouse with 2 terrasses in Forest (Parcs de Forest/Duden) of 110 m². 3rd floor: (fully renovated): hall wc cloakroom of 8m², 2 bedrooms of 10 et 17 m² with new carpet, balcony, bathroom of 10m² made in mortex with bathtub and independent shower. 4th floor (new construction): living room, kitchen and dining room of 50 m² with fireplace, sliding doors on both sides, terrasses of 6m² on one side and 27m² on the other side 10m² of vegetal roof, looking West with 180° view on Brussels and on parcs. Close to St-Gilles and Midi Station (Thalys/Eurostar).","20 m²
square meters","30 m²
square meters",,1.0,,,,Yes,,,,Landscape,,,1.0,No,,No,,,,,,,,,,,,,,,,,,,,,,,
20,,2.0,Installed,1.0,No,nan,1.0,No,No,No,No,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,Yes,Apartment building,"€ 750
750 €",,No,"€750/month
750€ per month","1 bedroom | 54 m²
square meters",1190 — Forest,Apartment for rent,3.0,2.0,,"54 m²
square meters","15 m²
square meters","14 m²
square meters",,,,Yes,No,,,,,,2009.0,As new,,Yes,,,,No,No,No,No,No,No,No,No,No,No,,,Immediately,6 m,,"6 m²
square meters",,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,March 1 2023 - 12:00 AM,2.0,Installed,2.0,No,1.0,2.0,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,No,No,No,No,No,All kind,"€ 1,250
1250 €","€ 300
300€",No,"€1,250 (+ €300)
1250€ + 300€ per month","2 bedrooms | 120 m²
square meters",1200 — Woluwe-Saint-Lambert,Duplex for rent,2.0,1.0,,"120 m²
square meters","20 m²
square meters",,,Yes,,Yes,No,,,,,,,Good,,Yes,Yes,,,No,No,No,No,No,No,No,No,No,Yes,,,,5 m,,"20 m²
square meters","15 m²
square meters",,,,,,,,,,,,,,,,,"15 m²
square meters",,,,,,,,,,,,,,,,,,,,,,
22,,nan,USA hyper equipped,3.0,,2.0,3.0,Yes,,,,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,,,,,,,"€ 3,300
3300 €",,No,"€3,300/month
3300€ per month","3 bedrooms | 160 m²
square meters",1170 — Watermael-Boitsfort,Exceptional property for rent,,3.0,,"160 m²
square meters","22 m²
square meters","16 m²
square meters","12 m²
square meters",No,"6 m²
square meters",Yes,,,"Square Marie Louise 13/5
1000 - Bruxelles",http://www.square-properties.be,5222329,Square Properties,1932.0,Just renovated,,Yes,,Yes,,,No,No,,,Yes,,,,,,,Immediately,,"À proximité de la maison communale, première occupation après rénovation d’une superbe maison 3 façades des années ’30 de près de 160m² avec cave et jardin. La maison se compose au rez-de-chaussée d’un spacieux hall d’entrée avec vestiaire et toilette invités, d’un salon de plus de 22m², d’une salle à manger de 25m² avec cuisine ouverte entièrement équipée permettant également d’accéder au jardin. Au 1ier et 2ième étages se trouvent la chambre principale de 16m² avec salle de bains privative, deux chambres de +/-13m² dont une avec espace rangement et mezzanine et l’autre avec petite terrasse orientée est, une salle de bains, un bureau de 8m² et un espace bureau. En sous-sol se trouve une cave à vin, la buanderie et un espace de rangement. PEB : D. Pour infos et visites : +32476707379 ou axel@square-properties.be","10 m²
square meters",,,,,"80 m²
square meters",,,,,Non flood zone,Countryside,,,,,,,,"12 m²
square meters","8 m²
square meters",Yes,"150 m²
square meters",Connected,Yes,,,,,,,,,,,,,,,,
